"project_id","project_name","one_liner","sector","source_agent","team_overview","financing_overview","business_progress","industry_position","ai_score","ai_score_reason","evidence_urls","latest_info_written_at","info_version","info_hash","created_at","updated_at"
"proj_011","PolicyWeaver","自动生成企业 AI 使用政策、审批流程和培训材料","AI Governance","p4-ai-security","团队来自企业合规咨询和 SaaS 产品","未融资","有 8 家企业使用免费模板，2 家付费咨询转产品","AI governance 有预算苗头，但产品化路径还早","69","需求存在，产品较轻，需验证能否从服务转软件","[""https://example.com/policyweaver""]","2026-05-07T10:50:00Z","1","demo_hash_011","2026-05-07T10:50:00Z","2026-05-07T10:50:00Z"
"proj_012","DeskRPA AI","AI 驱动的桌面流程自动化，面向财务和行政团队","AI Employee","p7-ai-employee","创始人曾做 RPA 交付，工程团队熟悉桌面自动化","Seed，200 万美元","已有 10 个付费客户，主要处理报销和对账流程","传统 RPA 升级方向，落地价值明确但竞争老玩家多","77","付费客户较好，方向务实，但需看产品可复制性","[""https://example.com/deskrpa""]","2026-05-07T10:55:00Z","1","demo_hash_012","2026-05-07T10:55:00Z","2026-05-07T10:55:00Z"
"proj_013","CallMiner AI","实时分析销售电话并生成下一步行动建议","Sales AI","p8-generic-ai","团队来自销售培训和语音识别公司","Seed，350 万美元","服务 12 个销售团队，声称提升 10% 跟进率","销售智能赛道成熟，需靠垂直行业数据差异化","68","商业化有信号，但赛道拥挤，技术壁垒有限","[""https://example.com/callminer-ai""]","2026-05-07T11:00:00Z","1","demo_hash_013","2026-05-07T11:00:00Z","2026-05-07T11:00:00Z"
"proj_014","DataRoom Copilot","为投融资尽调自动整理 data room、问答和风险清单","Investment Workflow","p8-generic-ai","创始团队有投行和法律科技背景","Pre-seed，100 万美元","被 4 家精品投行试用，用于早期项目材料整理","投资工作流垂直明确，小市场但高客单价可能","75","场景贴近投资人，工作流清晰，但 TAM 和扩展性待看","[""https://example.com/dataroom-copilot""]","2026-05-07T11:05:00Z","1","demo_hash_014","2026-05-07T11:05:00Z","2026-05-07T11:05:00Z"
"proj_015","EvalGrid","面向 AI 应用团队的自动化评测、回归测试和线上监控","AI Infrastructure","p4-ai-security","团队来自 MLOps 和 observability 公司，新增前 OpenAI 评测架构师","A 轮，1200 万美元，红杉领投","50 个开发团队试用，正式上线生产环境监控模块","已成为基础设施关键环节，正建立行业评测标准","88","进展极快，留存数据证明了生产环境的刚需，团队配置顶尖","[""https://example.com/evalgrid""]","2026-05-10T08:00:00Z","2","demo_hash_015_v2","2026-05-07T11:10:00Z","2026-05-10T08:00:00Z"
"proj_016","RetailSense AI","零售门店 AI 经营助手，自动分析库存、活动和会员触达","Industry Trend","p6-industry-trend","创始团队来自连锁零售和 BI 产品","Seed，300 万美元，经纬中国领投","在 150 家门店试点，库存预警准确率提升至 95%","零售数字化壁垒正在形成，AI 预测已产生显著 ROI","79","试点规模迅速扩大，ROI 数据详实，已度过最初的差异化质疑期","[""https://example.com/retailsense""]","2026-05-10T08:05:00Z","2","demo_hash_016_v2","2026-05-07T11:15:00Z","2026-05-10T08:05:00Z"
"proj_017","ContractPilot","AI 合同审查和条款风险提示，面向中小企业法务","Legal AI","p8-generic-ai","创始人有法律科技和 NLP 背景","Seed，280 万美元","付费团队增至 120 个，月度处理合同量增长 300%","准确率通过法律协会评测，正探索责任保险合作方案","78","付费增长超预期，合规风险已通过第三方评估，具备规模化潜力","[""https://example.com/contractpilot""]","2026-05-10T08:10:00Z","2","demo_hash_017_v2","2026-05-07T11:20:00Z","2026-05-10T08:10:00Z"
"proj_018","MemoryVault AI","企业内部知识记忆层，为多个 agent 提供长期上下文","AI Infrastructure","p7-ai-employee","团队来自搜索、向量数据库，新增一位分布式存储专家","Seed+，1500 万美元，融资超募","与 20 家 AI 公司达成后端合作，成为主流 agent 框架默认组件","已证明比单纯向量库具备更强的语义关联和检索精度","92","已展示出成为 Agent 时代数据标准的潜力，壁垒极高，强烈建议追入","[""https://example.com/memoryvault""]","2026-05-10T08:15:00Z","2","demo_hash_018_v2","2026-05-07T11:25:00Z","2026-05-10T08:15:00Z"
"proj_019","VoiceDesk","AI 电话坐席，自动完成外呼、回访和客户记录","AI Employee","p7-ai-employee","团队来自呼叫中心 SaaS，新增多语种语音处理能力","A 轮前，获战略投资 500 万美元","日均通话量突破 20,000 通，落地东南亚三个国家","多语种优势明显，合规性已通过多国运营商审计","85","全球化进展显著，转化质量稳定，商业化模型已跑通","[""https://example.com/voicedesk""]","2026-05-10T08:20:00Z","2","demo_hash_019_v2","2026-05-07T11:30:00Z","2026-05-10T08:20:00Z"
"proj_020","RiskRadar Labs","监测开源模型、依赖和 AI 供应链风险的安全平台","AI Security","p4-ai-security","团队拥有深厚的供应链安全经验，获大厂安全部门背书","Seed，520 万美元","正式签约 12 家大厂企业客户，并进入头部云服务商市场","AI 安全清单已成为行业事实标准，先发优势稳固","89","客户质量极高，行业地位确立，P4 方向的绝对领头羊","[""https://example.com/riskradar""]","2026-05-10T08:25:00Z","2","demo_hash_020_v2","2026-05-07T11:35:00Z","2026-05-10T08:25:00Z"
"proj_021","AeroFlow Dynamics","城市低空物流 eVTOL 自动调度系统","eVTOL","p9-mobility","团队出身大疆及波音，具备成熟的飞控算法经验","Seed，800 万美元","已在深圳完成 5000 飞行架次压力测试，获得民航局试运行许可","低空物流调度算法领域先发优势明显，兼容多种机型","87","JD 关注赛道。技术护城河深，政策红利期，建议重点跟进","[""https://example.com/aeroflow""]","2026-05-11T09:00:00Z","1","demo_hash_021_v1","2026-05-11T09:00:00Z","2026-05-11T09:00:00Z"
"proj_022","NeuralHand","基于多模态大模型的通用具身智能手部控制框架","Embodied AI","p2-embodied-ai","斯坦福机器人实验室孵化，核心成员曾获 CVPR 最佳论文","Angel，200 万美元","已适配主流三家商用机器人手臂，抓取成功率提升 40%","通用性极强，解决了长尾物料抓取的行业痛点","93","JD 关注赛道。顶级学术背景转化为工程能力的典型，具有极高溢价空间","[""https://example.com/neuralhand""]","2026-05-11T09:15:00Z","1","demo_hash_022_v1","2026-05-11T09:15:00Z","2026-05-11T09:15:00Z"
