"project_id","project_name","one_liner","sector","source_agent","team_overview","financing_overview","business_progress","industry_position","ai_score","ai_score_reason","evidence_urls","latest_info_written_at","info_version","info_hash","created_at","updated_at"
"proj_011","PolicyWeaver","自动生成企业 AI 使用政策、审批流程和培训材料","AI Governance","p4-ai-security","团队来自企业合规咨询和 SaaS 产品","未融资","有 8 家企业使用免费模板，2 家付费咨询转产品","AI governance 有预算苗头，但产品化路径还早","69","需求存在，产品较轻，需验证能否从服务转软件","[""https://example.com/policyweaver""]","2026-05-07T10:50:00Z","1","demo_hash_011","2026-05-07T10:50:00Z","2026-05-07T10:50:00Z"
"proj_012","DeskRPA AI","AI 驱动的桌面流程自动化，面向财务和行政团队","AI Employee","p7-ai-employee","创始人曾做 RPA 交付，工程团队熟悉桌面自动化","Seed，200 万美元","已有 10 个付费客户，主要处理报销和对账流程","传统 RPA 升级方向，落地价值明确但竞争老玩家多","77","付费客户较好，方向务实，但需看产品可复制性","[""https://example.com/deskrpa""]","2026-05-07T10:55:00Z","1","demo_hash_012","2026-05-07T10:55:00Z","2026-05-07T10:55:00Z"
"proj_013","CallMiner AI","实时分析销售电话并生成下一步行动建议","Sales AI","p8-generic-ai","团队来自销售培训和语音识别公司","Seed，350 万美元","服务 12 个销售团队，声称提升 10% 跟进率","销售智能赛道成熟，需靠垂直行业数据差异化","68","商业化有信号，但赛道拥挤，技术壁垒有限","[""https://example.com/callminer-ai""]","2026-05-07T11:00:00Z","1","demo_hash_013","2026-05-07T11:00:00Z","2026-05-07T11:00:00Z"
"proj_014","DataRoom Copilot","为投融资尽调自动整理 data room、问答和风险清单","Investment Workflow","p8-generic-ai","创始团队有投行和法律科技背景","Pre-seed，100 万美元","被 4 家精品投行试用，用于早期项目材料整理","投资工作流垂直明确，小市场但高客单价可能","75","场景贴近投资人，工作流清晰，但 TAM 和扩展性待看","[""https://example.com/dataroom-copilot""]","2026-05-07T11:05:00Z","1","demo_hash_014","2026-05-07T11:05:00Z","2026-05-07T11:05:00Z"
"proj_015","EvalGrid","面向 AI 应用团队的自动化评测、回归测试和线上监控","AI Infrastructure","p4-ai-security","团队来自 MLOps 和 observability 公司","Seed，450 万美元","10 个开发团队试用，支持私有评测集和生产监控","LLM eval 是基础设施关键环节，竞争正在升温","82","需求强、团队匹配、产品基础扎实，但需要证明留存","[""https://example.com/evalgrid""]","2026-05-07T11:10:00Z","1","demo_hash_015","2026-05-07T11:10:00Z","2026-05-07T11:10:00Z"
"proj_016","RetailSense AI","零售门店 AI 经营助手，自动分析库存、活动和会员触达","Industry Trend","p6-industry-trend","创始团队来自连锁零售和 BI 产品","天使轮，金额未披露","在 30 家门店试点，主要做库存预警和活动复盘","零售数字化需求稳定，AI 部分需要证明超越传统 BI","71","场景真实，数据接入难度适中，AI 差异化还需验证","[""https://example.com/retailsense""]","2026-05-07T11:15:00Z","1","demo_hash_016","2026-05-07T11:15:00Z","2026-05-07T11:15:00Z"
"proj_017","ContractPilot","AI 合同审查和条款风险提示，面向中小企业法务","Legal AI","p8-generic-ai","创始人有法律科技和 NLP 背景","Seed，280 万美元","1000 个免费用户，约 40 个付费团队","Legal AI 需求明确，需看准确率、责任边界和获客成本","73","有初步付费，方向成熟，但合规和竞争压力较大","[""https://example.com/contractpilot""]","2026-05-07T11:20:00Z","1","demo_hash_017","2026-05-07T11:20:00Z","2026-05-07T11:20:00Z"
"proj_018","MemoryVault AI","企业内部知识记忆层，为多个 agent 提供长期上下文","AI Infrastructure","p7-ai-employee","团队来自搜索、向量数据库和企业知识管理","Seed，700 万美元","与 6 家 AI 应用公司合作，作为 agent memory 后端","Agent memory 是关键基础设施，需证明比向量库更高层","86","切中 agent 基础设施痛点，团队强，早期合作质量高","[""https://example.com/memoryvault""]","2026-05-07T11:25:00Z","1","demo_hash_018","2026-05-07T11:25:00Z","2026-05-07T11:25:00Z"
"proj_019","VoiceDesk","AI 电话坐席，自动完成外呼、回访和客户记录","AI Employee","p7-ai-employee","团队来自呼叫中心 SaaS 和语音 AI 公司","Pre-seed，180 万美元","在保险和教育场景试点，日均 3000 通电话","语音 agent 快速发展，合规和体验是关键","80","使用量不错，场景清楚，但需关注合规和转化质量","[""https://example.com/voicedesk""]","2026-05-07T11:30:00Z","1","demo_hash_019","2026-05-07T11:30:00Z","2026-05-07T11:30:00Z"
"proj_020","RiskRadar Labs","监测开源模型、依赖和 AI 供应链风险的安全平台","AI Security","p4-ai-security","团队有软件供应链安全和开源治理经验","Seed，520 万美元","服务 3 家 AI 平台公司，覆盖模型和依赖风险清单","AI 供应链安全仍早，但企业风险意识在提升","85","P4 方向高度匹配，供应链安全经验强，客户质量值得进一步 DD","[""https://example.com/riskradar""]","2026-05-07T11:35:00Z","1","demo_hash_020","2026-05-07T11:35:00Z","2026-05-07T11:35:00Z"
